"包内文件","原始来源","处理说明"
"01_当前方案/选题一-双板协同架构与可行性-V3.md","D:\fpga\anlu\plan\选题一-双板协同架构与可行性-V3.md","包内链接相对化；历史参考加版本说明"
"01_当前方案/双板资源预算与实施门槛-V3.1.md","D:\fpga\anlu\plan\双板资源预算与实施门槛-V3.1.md","包内链接相对化；历史参考加版本说明"
"01_当前方案/报名用-作品题目与简介.md","D:\fpga\anlu\plan\报名用-作品题目与简介.md","包内链接相对化；历史参考加版本说明"
"02_技术推进与验收/30天单人技术路线.md","D:\fpga\anlu\plan\30天完赛执行包\30天单人技术路线.md","包内链接相对化；历史参考加版本说明"
"02_技术推进与验收/验收表.md","D:\fpga\anlu\plan\30天完赛执行包\验收表.md","包内链接相对化；历史参考加版本说明"
"02_技术推进与验收/进度台账.md","D:\fpga\anlu\plan\30天完赛执行包\进度台账.md","包内链接相对化；历史参考加版本说明"
"02_技术推进与验收/最终上传清单.md","D:\fpga\anlu\plan\30天完赛执行包\最终上传清单.md","包内链接相对化；历史参考加版本说明"
"03_第一天/第一天技术步骤.md","D:\fpga\anlu\work\day01\README.md","包内链接相对化；历史参考加版本说明"
"03_第一天/第一天验收记录.md","D:\fpga\anlu\work\day01\03_验收记录.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/比赛路线审查-证据索引.md","D:\fpga\anlu\plan\比赛路线审查-证据索引.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/独立审查报告_仅保留核查参考.md","D:\fpga\anlu\plan\2026安路比赛路线-独立审查与推荐方案.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T01.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T01.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T02.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T02.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T03.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T03.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T04.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T04.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T05.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T05.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T06.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T06.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T07.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T07.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T08.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T08.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T09.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T09.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T10.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T10.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T11.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T11.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T12.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T12.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T13.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T13.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T14.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T14.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T15.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T15.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T16.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T16.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T17.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T17.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T18.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T18.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T19.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T19.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T20.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T20.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T21.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T21.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T22.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T22.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T23.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T23.md","包内链接相对化；历史参考加版本说明"
"04_审查与历史技术参考/原任务卡/T24.md","D:\fpga\anlu\plan\30天完赛执行包\任务卡\T24.md","包内链接相对化；历史参考加版本说明"
"05_预算复算/resource_budget.py","D:\aidownload\anlu_route_audit\resource_budget.py","预算输出改为脚本同目录"
"05_预算复算/resource_budget.json","D:\aidownload\anlu_route_audit\resource_budget.json","原样复制"
